time,text,username,all_hashtages,amount_follwers
2021-09-25 00:09:48,b'@nathaliejacoby1 Boston',b'RWriter27',[],178
2021-09-25 00:09:48,b'Boston - Let Me Take You Home Tonight',b'iradiousa',[],2119
2021-09-25 00:09:48,b'@HiraMehak \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 why are u like this',b'boston_finest14',[],2253
2021-09-25 00:09:42,b'@judgesucks99 Boston lives in your head bub.',b'BeanTown_Title',[],262
2021-09-25 00:09:35,"b'Fuck Boston but, those throwback unis are FIRE'",b'Riot_Reynolds',[],571
2021-09-25 00:09:33,b'Wise man told me\xe2\x80\xa6.\xe2\x80\x9dStay outta black women business unless u invested in it\xe2\x80\xa6\xe2\x80\x9d',b'boston_finest14',[],2253
2021-09-25 00:09:30,b'There easier ways to get shot.  https://t.co/5FC5BWEROb',b'ABelfield4',[],1
2021-09-25 00:09:30,b'So which one of the Boston Bruins are coming in to replace Eovaldi?',b'McguirePetrov',[],3020
2021-09-25 00:09:26,b'If it wasn\xe2\x80\x99t gonna rain in boston tomorrow I\xe2\x80\x99d probably go.',b'GolladayInNYG',[],1750
2021-09-25 00:09:20,b'Come On Jays Boston won\xe2\x80\x99t help you New York\xe2\x80\x99s up 3 They\xe2\x80\x99re AFRAID of you It\xe2\x80\x99s up to you to just WIN WIN WIN After all you\xe2\x80\x99re playing The Twins Then you\xe2\x80\x99ll take control of this race\xe2\x80\xa6by putting The Yankees in their place #MLB #BlueJays',b'foureye20137868',"['MLB', 'BlueJays']",0
2021-09-25 00:09:17,b'@Molly_Brook_ Drop kick Murphy\xe2\x80\x99s\xe2\x80\xa6\xe2\x80\xa6 playing in Boston\xe2\x80\xa6\xe2\x80\xa6 ???  No way.',b'irolands1',[],880
2021-09-25 00:09:17,"b'Ah Boston, you absurd metropolis. I used to be disgusted but now I try to be amused.'",b'stephenrodrick',[],6465
2021-09-25 00:09:00,b'NEVER count these Boston A-holes out.  Gotta keep scroring every inning! #yankees',b'Saraskiddy',['yankees'],49
2021-09-25 00:08:58,b'Big weekend for this pair of baseball junkies @abc3340! \xe2\x9a\xbe\xef\xb8\x8f   @spann #Yankees #RedSox #NewYork #Boston #Baseball #MLB https://t.co/Rfmk8EV3Bt',b'StephenQ3340',"['Yankees', 'RedSox', 'NewYork', 'Boston', 'Baseball', 'MLB']",3749
2021-09-25 00:08:57,b'The one time I need a Boston team to win and they decide to take the field in something pastel.',b'strugglingdummy',[],256
2021-09-25 00:08:53,"b""The Yankees chased the Red Sox's most reliable starter for this weekend's series after 2 2/3 innings in game one. That could be a big deal for Boston's pitching situation this weekend, especially with their best reliever on the injured list.""",b'lindseyadler',[],77358
2021-09-25 00:08:52,b'Alice Cooper and Ace Frehley Shock Boston: Photo Gallery #Malliard https://t.co/IuxbCfG8Zq',b'extension13show',['Malliard'],2072
2021-09-25 00:08:52,b'@Amaripop He took Boston to the Playoffs ..\xf0\x9f\xa4\xa8',b'status_culture',[],4082
2021-09-25 00:08:51,b'Still don\xe2\x80\x99t know what Patriots jersey to get\xe2\x80\xa6got to be prepared to go back to Boston for this game',b'Mr__NRG',[],1176
2021-09-25 00:08:50,b'Imagine what war crimes AI powered machines will be able to do in the next 5-10 years.  Boston Dynamics machines flawlessly and soulfully dancing in rhythm.',b'ian_is_uhhhhh',[],254
2021-09-25 00:08:49,b'@Yankees WATCHING THE GAME ON ESPN.  I THOUGHT IT WAS AN EXHIBITION BETWEEN THE YANKEES AND UCLA BASEBALL.  BOSTON IS WEARING GOLD AND BRUIN BLUE',b'mrlp33',[],26
2021-09-25 00:08:46,b'road trip to Boston to see the Yankee game ....',b'meganlynn_3',[],434
2021-09-25 00:08:42,"b'#NOWPLAYING  https://t.co/EK2HuPvDjG Aly K - DOPE! Ft Champ Tha Great       ""THE HOME OF BOSTON HIP HOP""'",b'funkyfresh1',['NOWPLAYING'],3763
2021-09-25 00:08:40,b'Wow just an ugly start from NASTY NATE. Yankees will probably make this game get even uglier. They understood the assignment coming in to Boston and are executing to perfection. I\xe2\x80\x99m sure @Jared_Carrabis and @RyanSch37281885 are tucking their tails in. Cat nip your tounge huh?',b'MikesYanks',[],7
2021-09-25 00:08:38,b'The poor kids of boston\xe2\x80\xa6 wont be eatin free tonight \xe2\x80\x9c just sayin\xe2\x80\x9d sorry! \xf0\x9f\x99\x84 https://t.co/PIEI9hJ9Pe',b'Captivate1988',[],24
2021-09-25 00:08:36,b'This move is a huge move for this series. Boston now has to get the remaining 22 outs of their prn.',b'OwenMohler',[],164
2021-09-25 00:08:25,"b""Great job by the Yanks getting into Boston's bullpen this early. Might be a big factor for the rest of the series.""",b'sambox71',[],341
2021-09-25 00:08:24,b'Why do Boston Red Sox look like UCLA Bruins?!?!? @OfficialMLBRFC @TheEsqofSports @chrisvitali @nyy_cate @kengfunk',b'steelers1288',[],626
2021-09-25 00:08:21,"b'@ColeWright @alannarizzo @RedSox Seconded.  The #RedSox City Connect look like UCLA, not the Boston Marathon!'",b'Andy_Beebe',['RedSox'],218
2021-09-25 00:08:20,b'@Jared_Carrabis I\xe2\x80\x99d prefer that when Boston is winning',b'ptrotti1',[],8
2021-09-25 00:08:09,b'I think the most frustrating thing about Stanton sonning the Red Sox is that I\xe2\x80\x99ve spent the better part of two years defending him while Yankees fans try to take him behind the woodshed and my reward is watching him help NY put up a 6-spot on Boston',b'socia_ball',[],242
2021-09-25 00:08:08,b'Here we go!!! Round 2 of the Boston to Berkeley II Tour. Nashville tonight! https://t.co/dATk6ahBOr',b'801PUNX',[],20471
2021-09-25 00:08:06,"b'BC/BU Softball Score - Final: @BC_Softball 3, @TerrierSoftball 2 in 10 innings. #bc_softball #terriersoftball #bostonathletes #boston #softball #collegesoftball #bostonsports #gobu #buterriers #buathletics #bceagles #forboston #bostoncollege #bostonathletemagazine https://t.co/jZe14ZWcHj'",b'bostonathletema',"['bc_softball', 'terriersoftball', 'bostonathletes', 'boston', 'softball', 'collegesoftball', 'bostonsports', 'gobu', 'buterriers', 'buathletics', 'bceagles', 'forboston', 'bostoncollege', 'bostonathletemagazine']",625
2021-09-25 00:08:05,b'Wow Boston\xe2\x80\x99s new uniforms suck. They\xe2\x80\x99re like little league uniforms',b'EdDee317',[],270
2021-09-25 00:08:02,b'Boston Latin Academy vs Boston Latin High School Football Live 7:00PM Link On @CFCFootball2 Or My Bio',b'FootballUsa16',[],2
2021-09-25 00:08:01,"b""Sorry Boston, but that blue, yellow uniform the Red Sox are wearing is one of the worst things I've seen.""",b'TransitErwin',[],1561
2021-09-25 00:07:59,"b'@DanAlanRourke @Jared_Carrabis it\xe2\x80\x99s pretty big too, big 3 game set and boston is going to have to get 20 outs out of their bullpen in the first game. this gives us a huge advantage over the next two games as well'",b'mikey_2599',[],6
2021-09-25 00:07:59,b'@TypeONescence The mayor of Boston is Republican lol',b'BoxNews11',[],851
2021-09-25 00:07:58,"b""Ah let's see how our old pals the Boston Red Sox are doing tonight. Surely they could do the Jays a favour. https://t.co/fKRQOFlUCL""",b'AlexHoweWPG',[],405
2021-09-25 00:07:57,b'\xe2\x80\xa2\xe2\x80\xa6.oh Boston\xf0\x9f\x98\x82\xe2\x80\xa2',b'NLino_',[],338
2021-09-25 00:07:57,b'Why do the Boston red socks have yellow and blue jerseys?',b'yassabell_',[],112
2021-09-25 00:07:54,b'@BoarIsWar Know the feeling but hang tuff. Good start 2nite over pussox! 20f3 over Boston will work!\xf0\x9f\x91\x8d\xe2\x9a\xbe\xf0\x9f\x91\x8d\xf0\x9f\x98\x83',b'mark_wexler',[],5
2021-09-25 00:07:51,b'Since when do the Boston RedSox wear urine yellow uniforms?',b'JMarieT03',[],1201
2021-09-25 00:07:46,b'LETS FUCKING GO YANKEES! Fuck Boston \xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc',b'ShadowmereXO',[],42
2021-09-25 00:07:44,"b""@TaoofStieb If they win the next 3 over Boston and we can win the next 3 over Min, and we keep pace the rest of the season it means face them in TO for the WCG, doesn't it?""",b'maxflyte',[],236
2021-09-25 00:07:42,b'2.2 innings tonight for Evo. Not entirely his fault but Vazquez calling fir the exact opposite of what\xe2\x80\x99s needed at the dish doesnt help either',b'Boston_316',[],357
2021-09-25 00:07:40,b'good night boston. #sunset from #bunkerhill #charlestown @bostonNHP https://t.co/ucFayJRndi https://t.co/5QmPRxyhtq',b'BostonTimelaps1',"['sunset', 'bunkerhill', 'charlestown']",365
2021-09-25 00:07:37,b'This was picture perfect start to the series. Bullpen has to eat up 6 and 1/3. A lead for Cole. Confidence and momentum moving forward despite it being in Boston.   Let\xe2\x80\x99s keep it rolling today. Don\xe2\x80\x99t let up.',b'ChrisMo2413',[],1347
2021-09-25 00:07:34,b'@thedailybeast No seatbelt needed.. https://t.co/HE6Jqn5JDz',b'Boston_Grandpa',[],4438
2021-09-25 00:07:33,b'Does any team have worse uniforms than MLB Boston?',b'JayBennettCoach',[],638
2021-09-25 00:07:31,b'BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks BOSTON sucks https://t.co/8IQIt8vA9F',b'Alex54712866',[],1
2021-09-25 00:07:30,b'Why is Boston wearing cheap looking UCLA uniforms vs the Yankees? #SquadUp',b'TheFreeMaherket',['SquadUp'],617
2021-09-25 00:07:29,b'Evoldi going not even 2 innings is huge for the rest of the series. Boston\xe2\x80\x99s bullpen is going to be hurting.',b'Andrew_Jr3',[],50
2021-09-25 00:07:27,"b""@OneYearWorld Labs, Redbones, retriever, pug, Boston, rescues, Bassett, ..... they're all best""",b'FreakyHair',[],155
2021-09-25 00:07:24,b'Giancarlo Stanton goes yard to give the Yankees (-120) a 6-0 lead over Boston in the 3rd.    https://t.co/UczK4UBT5W',b'Covers',[],142073
2021-09-25 00:07:08,"b'Then and now: Part II, Now it\xe2\x80\x99s Gabi\xe2\x80\x99s time to live: Transitioning at 60 https://t.co/lAVitpauu1 via @Boston Spirit Magazine'",b'JasonDFlatt',[],2181
2021-09-25 00:07:06,b'Yankees hanging 6 runs (!) on the board and chasing Nathan Eovaldi in the 3rd is quite the start to this massively important series in Boston.',b'JohnChandlerNBC',[],2636
2021-09-25 00:07:03,"b""I will say that Sterling couldn't believe the plate umpire changed the 3-0 strike call on Judge to a ball for a walk. But this was coming. I felt good about it. Now Cole must keep Boston off the board.""",b'DFlex2123',[],686
2021-09-25 00:07:02,b'Yankees up big in Boston. Jays need to take of business and focus on winning these 3 games.',b'BlueJayPhanatic',[],50
2021-09-25 00:06:58,"b'@DPLennon Sox - Yanks, next to last week of the season, fighting for playoff spots\xe2\x80\xa6.and Boston shows up like they\xe2\x80\x99re leading in the mountain stage of the Tour de France.'",b'sawdustcaesar48',[],41
2021-09-25 00:06:57,b'Boston\xe2\x80\x99s jerseys look atrocious much like them. #Yankees',b'MarcNumber7',['Yankees'],60
2021-09-25 00:06:57,b'These blue Boston uniforms are pretty terrible. Woat level',b'Clarkmeister1',[],314
2021-09-25 00:06:52,b'@ABGclips @Notteham @noalmd @DustHansen @HayleyHolme Jason grew up in Boston (middle school &amp; high school). His father actually worked part time for the Celtics and Red Sox organizations so one is quite sure he understands the culture well\xe2\x80\xa6',b'Nietzsche_007',[],247
2021-09-25 00:06:51,"b'Q1, 9:43 - Washington 7, Ft. Zumwalt South 0  Landon Boston 3-yard TD run. Devon Deckelman PAT.'",b'husteadsports',[],981
2021-09-25 00:06:47,"b""@freckle_red Yeah I am going through a lot of his interviews and pulling his op-ed's from Boston Globe. I am working on making summaries of the People's History Chapters but decided to expand that.""",b'LumpyLouish',[],11481
2021-09-25 00:06:46,b'@MLB @Giancarlo818 These cowards in boston chanting \xe2\x80\x9cYankees suck\xe2\x80\x9d when they\xe2\x80\x99re down 6-0 LMAOOO what a pathetic fanbase',b'JudgesTorres',[],282
2021-09-25 00:06:46,b'Boston w/ the 2 yd TD! Deckelman w/ the PAT!  Jays up 7-0 w/ 9:43 left to play in the 1st Qtr.',b'WHSBlueJays',[],3995
2021-09-25 00:06:40,b'my fianc\xc3\xa9e: \xe2\x80\x9ci\xe2\x80\x99ve never been to boston\xe2\x80\x9d   me: \xe2\x80\x9cstick with me and you never will\xe2\x80\x9d \xf0\x9f\x98\xac\xf0\x9f\x98\xac',b'chippedfrnteeth',[],1349
2021-09-25 00:06:39,b'Yankees bury these Boston Cockbreath bastards\xe2\x80\xbc\xef\xb8\x8f #squadup https://t.co/WjXRdce0uP',b'kingkvssxe',['squadup'],825
2021-09-25 00:06:36,b'@TROYORTIZ3 Hahaha see you in Boston wildcard weekend',b'NICKeLLOYDeon',[],687
2021-09-25 00:06:36,b'Visiting Boston with my family. How many times do you think I can ask them if they like apples before they disown me?',b'__randers__',[],317
2021-09-25 00:06:26,"b'they killing Eovaldi out there, and I love it cuz fuck Boston'",b'AMENProducer',[],2373
2021-09-25 00:06:26,b'@416_Perp Boston',b'ScottTerrioHMA',[],6309
2021-09-25 00:06:16,b'Boston out there looking like UCLA. And getting rolled.',b'MsPlayoffHope',[],936
2021-09-25 00:06:16,b'@byJulianMack Idk how Boston fans put themselves through so much pain\xe2\x80\xa6',b'LawrenceBruce84',[],3
2021-09-25 00:06:13,"b'@DanielKayHertz @neipate96 I kind of understand this; I think a lot of people associate Boston with oldness and NYC with skyscrapers, even though most buildings in NYC are also really old.'",b'newdougman',[],1200
2021-09-25 00:06:06,"b'Welp, #RedSox suck again. Switching back to #LaverCup. Thankfully there\xe2\x80\x99s something else going on in Boston I can watch and actually enjoy myself. Now just need Rublev/Schwartzman to go o19.5 games. \xf0\x9f\x99\x82\xf0\x9f\x99\x8f'",b'chrisberez',"['RedSox', 'LaverCup']",405
2021-09-25 00:06:01,b'@MLB @Giancarlo818 We run Boston',b'ningenito97',[],416
2021-09-25 00:06:01,b'@everything_sox When Betts was traded I made a joke that Boston chose Eovaldi over him and that was really really dumb.  For some reason people were calling me out for being wrong about that last week.',b'caseyboguslaw',[],3612
2021-09-25 00:05:59,"b""@MLB @Giancarlo818 Boston Red Sox Ring History \xf0\x9f\x98\xad 1903,1912,1915,1916,1918: black players weren't allowed, doesnt count 2004: took too long to win, doesn't count \xf0\x9f\x92\xaf 2007: no competition + celtics superteam \xe2\x98\x98\xef\xb8\x8f 2013: st louis has no fans, doesnt count \xf0\x9f\x92\x80\xf0\x9f\x92\x80 2018: cheaters + bended over for astros \xf0\x9f\x97\x91""",b'bitchlessephi',[],74
2021-09-25 00:05:56,"b""With the Yankees pounding Boston, the Jays need to win tonight. Don't want to fall 2 back with only 8 left to play.#bluejays""",b'Adven41',['bluejays'],2
2021-09-25 00:05:55,b'I feel bad for those kids in Boston',b'the_standings',[],172
2021-09-25 00:05:54,b'@rcooley123 They are a tribute the people who died during the Boston Marathon bombing.  There is a damn good reason for them.  And honestly\xe2\x80\xa6because of that\xe2\x80\xa6they are my favorite of the City Connect unis.',b'DoubleMCards',[],797
2021-09-25 00:05:52,b'Protesters gather in Boston to oppose treatment of Haitians at the border  https://t.co/A4cPjS5Tct',b'MSNLocalBoston',[],36
2021-09-25 00:05:45,"b'\xf0\x9f\xa4\xa5: The overall mood of riders improved in the last hour. Analyzed 3 tweets, with 72.97% feeling Sarcastic. #Boston #MBTA #MBTAMOOD'",b'mbta_mood',"['Boston', 'MBTA', 'MBTAMOOD']",982
2021-09-25 00:05:39,b'@RyanGarciaESM is currently having the time of his life and the Yankees are destroying Boston. This might be the best day ever',b'Wed3ni',[],565
2021-09-25 00:05:35,b'@notKoze City flag/Boston Marathon colors',b'ZachOnTheRun',[],29
2021-09-25 00:05:23,b'@MicheleMyBell71 @sassyblondie1 @DeFrancKdefranc @johnnybruin @SteveJMacE @loveshockey20 @BruinsBreakdown @BruinsSandi Seattle plays in Boston 2-1-22 and Boston plays in Seattle 2-24',b'PGar58',[],2507
2021-09-25 00:05:19,b'Mizzou travels to Boston College to faceoff in one of the most talked about games of the week.   @andybackstrom previews the match up:   https://t.co/H9tp2AIbWV',b'Rivals',[],254614
2021-09-25 00:05:18,b'Boston is definitely getting bounced in the WC game if they get there. No doubt about it. #MLB',b'BKG_92',['MLB'],347
2021-09-25 00:05:05,"b""@Softly_Sarah Boston I love that Museum I can't wait to visit again.""",b'LuluJaynePaige',[],10496
2021-09-25 00:05:04,"b""Boston Teachers Union 'Very Happy' With CDC Move Letting Educators Get COVID-19 Boosters https://t.co/GAsOwY9qH3 via @WBUR""",b'beth_kontos',[],2243
2021-09-25 00:05:01,b'Tonight\xe2\x80\x99s mood thanks to the Boston Red Sox: https://t.co/O77hXteO5j',b'OffSeids',[],5375
2021-09-25 00:05:00,b'#Yankees up 6-0 over the Boston Piss Sox\xe2\x80\xa6 yellow sox\xe2\x80\xa6 whatever.',b'THE_Bob_SHOW',['Yankees'],82
2021-09-25 00:04:57,b'Just landed and saw @Yankees killing Boston let\xe2\x80\x99s set the mood drinks on me.',b'True2Jaysvision',[],364
2021-09-25 00:04:54,b'@NickFoligno @NHLBruins @RedSox Buffalo boy in Boston! Say hi to the Buffalo owner! Safe and healthy season Nick',b'scottop5dogs',[],144
2021-09-25 00:04:54,b'This fucking ump dude GIVE ME THAT you just called it for them',b'Boston_316',[],357
2021-09-25 00:04:51,b'Boston https://t.co/iuP5cRweJ7',b'sciluan_',[],796
2021-09-25 00:04:45,b'When did iglesias made it to Boston \xf0\x9f\x91\x80 lol',b'Soto_Nica',[],254
2021-09-25 00:04:40,b'@short_porch SWEEPING BOSTON 2-1 with Toronto and Sweep Tampa. Cole vs Sale coming soon in the BRONX\xf0\x9f\x99\x8f',b'BigSous25',[],518
2021-09-25 00:04:37,b'@Yankees What\xe2\x80\x99s that uniform from Boston Red Sox \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94',b'VanTokiRan',[],1130
2021-09-25 00:04:34,b'@Boston_Married @KetanJ0 @Rob_Stott I m handsumism',b'Him49729974',[],35
2021-09-25 00:04:34,"b'Beacon Hill Lovely 2 Beds 1 Bath -Located On Charles St In Boston Boston - $2,850: SPACIOUS BEDROOMS AMPLE CLOSETS CLOSE TO PUBLIC TRANSPORTATIION UPDATED KITCHEN AND BATHROOM LOTS OF NATURAL LIGHTING DONT WAIT CALL NOOW TO SCHEDULE YOUR SHOWING!! https://t.co/sXUOcFMY1M https://t.co/8LZcJQsIMa'",b'beaconhillpads',[],702
2021-09-25 00:04:30,b'Being home is so weird dude my dad is driving me to a party in Boston rn \xf0\x9f\x98\x82',b'cicuska_',[],163
